host,shortname,dsname,fullxres,fullyres,HS3ref,vcodec,folder,enabled,group
BlueIris3,"IPcam41","10.10.3.41:88:554/videoMain/:1",00000500,000002d0,"4691","H264",00000001,00000001,00000001,"E:\\_dea\\exp\\cams\\gvb\\cam4","yarde;yard;gvb;_foscam98",
BlueIris3,"IPCam15","10.10.3.15:80:554/livestream/11?action=play&media=video_audio_data/:1",00000780,00000438,"4698","H264",00000001,00000000,00000001,"E:\\_dea\\exp\\cams\\gvc\\cam1","yardne;yarde;yard;wundercam;gvc;bird_feeder;_foscam98",
BlueIris3,"HK25","10.10.3.125:80:554/Streaming/channels/101/:1",00000a80,000005f0,"4692","H264",00000001,00000001,00000001,"E:\\_dea\\exp\\cams\\gva\\cam4","yardnw;yard;garage;driveway;_hikvision",
BlueIris3,"cam61","10.10.3.61:80:1935/bcs/channel0_main.bcs?channel=0&stream=0&user={id}&password={pw}/:1",00000c00,000006c0,"5589","H264",00000001,00000001,00000001,"E:\\_dea\\exp\\cams\\gvc\\cam61","yardw;driveway;_reolink",
BlueIris3,"IPcam62","10.10.3.62:80:554/cam/realmonitor/channel=1&subtype=0&authbasic={AUTH64}:1",00000780,00000438,"4695","H264",00000001,00000001,00000001,"E:\\_dea\\exp\\cams\\gva\\cam2","yardnw;gva;garage;driveway;_amcrest1k",
BlueIris3,"IPcam73","10.10.13.73:80:554/livestream/11?action=play&media=video_audio_data/:1",00000780,00000438,"5605","H264",00000001,00000000,00000001,"I:\\_dea\\exp\\cams\\gvc\\cam73","yarde;yard;gvc;_m7",
BlueIris4,"AM14","10.10.3.14:80:554//:1",00000900,00000510,"5546","H264",00000001,00000000,00000001,"I:\\_dea\\exp\\cams\\gvc\\cam12","mouse;kennel;house_interior;_am2k",
BlueIris4,"IPcam40","10.10.3.140:88:8554//0:1",00000500,000002d0,"5518","H264",00000001,00000000,00000001,"\\\\OP760\\dea\\exp\\cams\\gva\\cam1","gva;attic;_foscam98",
BlueIris4,"Escam2","10.10.3.102:80:34567/Main:0",00000500,000002d0,"5510","H264",00000001,00000001,00000001,"I:\\_dea\\exp\\cams\\gvb\\cam1","storage;house_interior;_ezcam",
BlueIris4,"Escam3","10.10.3.103:80:34567/Main:0",00000500,000002d0,"5516","H264",00000001,00000001,00000001,"I:\\_dea\\exp\\cams\\gvb\\cam10","house_interior;compS;_ezcam",
BlueIris4,"IpCam18","10.10.3.118:80:34567/Main:0",00000500,000002d0,"5550","H264",00000001,00000000,00000001,"E:\\_dea\\odrive\\GD.video\\cams\\gvc\\cam0","gvc;barnWest;barn;_ezcam",
BlueIris4,"IPcam11","10.10.3.111:88:554//0:11",00000500,000002d0,"5548","H264",00000001,00000001,00000001,"I:\\_dea\\exp\\cams\\gvc\\cam11","mouse;living;house_interior;_hot;_foscam98",
BlueIris4,"IPcam12","10.10.3.112:80:554/cam/realmonitor/channel=1&subtype=0&authbasic={AUTH64}:1",00000900,00000510,"5543","H264",00000001,00000001,00000001,"I:\\_dea\\exp\\cams\\gvc\\cam12","mouse;living;kitchen;house_interior;desk;_foscam98",
BlueIris4,"IPcam19","10.10.3.119:80:34567/Main:0",00000500,000002d0,"5526","H264",00000001,00000000,00000001,"I:\\_dea\\exp\\cams\\gvc\\cam19","mouse;kennel;house_interior;_ezcam",
BlueIris4,"IPcam5","10.10.3.105:80:554/video/ACVS-H264.cgi/profileid=1:5",00000500,00000320,"5512","H264",00000001,00000001,00000001,"I:\\_dea\\exp\\cams\\gvc\\cam3","shop;_trendnet",
BlueIris4,"Escam43","10.10.3.43:80:34567/livestream/11?action=play&media=video_audio_data/:1",00000780,00000438,"5588","H264",00000001,00000000,00000001,"I:\\_dea\\exp\\cams\\gvc\\cam43","gvc;feeder;coons;_ezcam",
